,Company Names ,Website Link  
0,Cubical Laboratories Private Limited,www.cubical.in
1,Signzy Technologies Private Ltd.,www.signzy.com
2,PurpleBits Infosystems Pvt Ltd,www.purpledocs.com
3,Say-luss Medicare pvt ltd,www.saylussmedicare.com
4,Rabbit and Tortoise Technology Solutions,www.rnt.ai
5,Smart Joules Pvt. Ltd,www.smartjoules.co.in/
6,I REE CONSTRUCTION INDIA PRIVATE LIMITED,www.ireeworld.com
7,Indus OS,www.indusos.com
8,Wimera Systems Pvt Ltd,wimerasys.com
9,Invilogic Software PVT LTD,Read More 
10,Green Agrevolution Private Limited ,agrevolution.in
11,GOOFFER HYPERLOCAL PVT LTD,No website found
12,IPS e Services Private Limited,www.ipsindia.co.in
13,PictureTime Digiplex Pvt Ltd,www.picturetime.in
14,Sequretek IT Solutions Pvt. Ltd.,www.sequretek.com
15,NetObjex (India) Pvt. Ltd.,netobjex.com
16,Budi Srinivasa Rao,No website found
17,Budi parvathi,No website found
18,WiJungle,www.wijungle.com
19,Geo Climate Risk Solutions Pvt Ltd,gcrs.co.in/
